country,total_movies,total_budget,Capital,CapitalLatitude,CapitalLongitude
South Africa,3,"57,000,000.00",Pretoria,-25.7,28.216667
Georgia,1,"20,000,000.00",Tbilisi,41.683334,44.833332
Norway,4,"66,500,000.00",Oslo,59.916668,10.75
Mexico,11,"63,418,776.00",Mexico City,19.433332,-99.13333
Japan,17,"6,953,919,500.00",Tokyo,35.683334,139.75
Thailand,4,"909,000,000.00",Bangkok,13.75,100.51667
Chile,1,"26,000,000.00",Santiago,-33.45,-70.666664
Aruba,1,"35,000,000.00",Oranjestad,12.516666,-70.03333
South Korea,9,"16,541,520,000.00",Seoul,37.55,126.98333
Iceland,2,"13,800,000.00",Reykjavik,64.15,-21.95
Germany,82,"2,919,899,400.00",Berlin,52.516666,13.4
Belgium,2,"49,000,000.00",Brussels,50.833332,4.333333
Finland,1,"3,850,000.00",Helsinki,60.166668,24.933332
Italy,11,"140,500,000.00",Rome,41.9,12.483333
Romania,2,"12,590,000.00",Bucharest,44.433334,26.1
France,106,"3,605,492,700.00",Paris,48.866665,2.333333
Peru,1,"45,000,000.00",Lima,-12.05,-77.05
Canada,64,"1,368,490,200.00",Ottawa,45.416668,-75.7
UK,325,"10,040,094,000.00",London,51.5,-0.083333
Afghanistan,1,"46,000.00",Kabul,34.516666,69.183334
Hungary,2,"2,520,000,000.00",Budapest,47.5,19.083332
Iran,4,"14,690,000.00",Tehran,35.7,51.416668
Israel,3,"3,450,000.00",Jerusalem,31.766666,35.233334
India,14,"1,576,544,100.00",New Delhi,28.6,77.2
Indonesia,1,"1,100,000.00",Jakarta,-6.1666665,106.816666
New Zealand,11,"1,053,000,000.00",Wellington,-41.3,174.78334
Russia,3,"44,200,000.00",Moscow,55.75,37.6
Ireland,7,"99,180,000.00",Dublin,53.316666,-6.233333
Netherlands,3,"29,500,000.00",Amsterdam,52.35,4.916667
Sweden,1,"25,000,000.00",Stockholm,59.333332,18.05
Argentina,3,"4,900,000.00",Buenos Aires,-34.583332,-58.666668
Poland,1,"2,400,000.00",Warsaw,52.25,21
Brazil,5,"18,200,000.00",Brasilia,-15.783334,-47.916668
Spain,22,"1,089,549,800.00",Madrid,40.4,-3.683333
Colombia,1,"3,000,000.00",Bogota,4.6,-74.083336
USA,3074,"123,055,580,000.00",Washington,38.89511,-77.03637
Greece,1,"18,000,000.00",Athens,37.983334,23.733334
China,15,"1,233,032,100.00",Beijing,39.916668,116.38333
Hong Kong,13,"351,100,000.00",Hong Kong,22.346579,114.135445
Taiwan,2,"30,000,000.00",Taipei,25.033333,121.51667
Australia,41,"1,478,505,700.00",Canberra,-35.266666,149.13333
Denmark,9,"125,300,000.00",Copenhagen,55.666668,12.583333
Czech Republic,3,"146,450,000.00",Prague,50.083332,14.466667
Philippines,1,"7,000.00",Manila,14.6,120.96667
